account_number,name,entity_type,status,registered,domestic_or_foreign,formation_place,naics,street,city,state,zip,email
3514133,BCMRE Sonno JV LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Other Activities Related to Real Estate (531390),26 Robin Ln,Monroe,CT,06468-3006,bcmresonnojvllc@gmail.com
3514134,Anthony's Pump Service LLC,LLC,Active,2026-09-10,Domestic,Connecticut,All Other Personal Services (812990),118 Lone Oak Drive,New Milford,CT,06776,anthonyspumps@gmail.com
3514149,R.U. FLOORS & REMODELING LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Residential Remodelers (236118),110 Porter St,Bridgeport,CT,06606-5440,taxesbpt@rohuer.com
3514150,MELLOW LOGISTICS & HAULING LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Used Household and Office Goods Moving (484210),20 Sanford Ave,Trumbull,CT,06611-1620,chrismollenthiel@gmail.com
3514156,"FWL PROPERTIES, LLC",LLC,Active,2026-09-10,Foreign,NEW HAMPSHIRE,Lessors of Residential Buildings and Dwellings (531110),167 LITTLE HARBOR RD,NEW CASTLE,NH,03854,fwlevin@gmail.com
3514159,Grown & Good LLC,LLC,Active,2026-09-10,Domestic,Connecticut,All Other Miscellaneous Retailers (459999),341 Main St,West Haven,CT,06516-4432,grownandgoodco@gmail.com
3514163,GaughanTV LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers (516210)",99 Milford Point Road,Milford,CT,06460,gaughantv@gmail.com
3514168,CLUB COMPOUND Limited Liability Company,LLC,Active,2026-09-10,Domestic,Connecticut,Full-Service Restaurants (722511),70 Union Pl,Hartford,CT,06103-1410,legendsbar860@gmail.com
3514173,Steadfora LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Software Publishers (513210),1284 Park Ave,Bridgeport,CT,06604-3049,steadforallc@gmail.com
3514176,Puccino Properties 56 Mill River St. LLC,LLC,Active,2026-09-10,Domestic,Connecticut,New Multifamily Housing Construction except For-Sale Builders (236116),1857 Middletown Ave,Northford,CT,06472,spiketmb@comcast.net
3514177,Eden Properties LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),291 Dromara Rd,Guilford,CT,06437-2359,garrett.krier@gmail.com
3514189,"Food Craft, LLC",LLC,Active,2026-09-10,Domestic,Connecticut,Full-Service Restaurants (722511),133 Atlantic street,Stamford,CT,06901,president@suchifoods.com
3514192,"CANTALOUPE SYSTEMS, LLC",LLC,Active,2026-09-10,Foreign,,522320,1743 MAPLELAWN DR,TROY,MI,48084,LEGALCOMPLIANCE@CANTALOUPE.COM
3514194,The Caddie Network Limited Liability Company,LLC,Active,2026-09-10,Domestic,Connecticut,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers (516210)",31 Summit Road,Riverside,CT,06878,merrill@thecaddienetwork.com
3514196,Aarna's First LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"Beer, Wine, and Liquor Retailers (445320)",22 Union City Rd,Prospect,CT,06712-1578,aarupro156@gmail.com
3514197,Madlil Holdings LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),17 Robbie Rd,Moodus,CT,06469-1130,madlilholdingsllc@gmail.com
3514198,CMRB L.L.C.,LLC,Active,2026-09-10,Domestic,Connecticut,Reupholstery and Furniture Repair (811420),315 Eastern Street,New Haven,CT,06513,rogerii38@yahoo.com
3514200,Dwayne & Sharicka Packing & Moving LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Used Household and Office Goods Moving (484210),900 washington st.,middletown,CT,06457,letusmoveyou26@gmail.com
3514201,Puccino Properties 62 Mill River St. LLC,LLC,Active,2026-09-10,Domestic,Connecticut,New Multifamily Housing Construction except For-Sale Builders (236116),1857 Middletown Ave,Northford,CT,06472,spiketmb@comcast.net
3514202,26 Starrs Plain Rd LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),2389 Main St.,Glastonbury,CT,06033,eastern@northwestregisteredagent.com
3514212,TRUCARE MANAGEMENT CT P.C.,Stock,Active,2026-09-10,Domestic,Connecticut,Offices of Physicians except Mental Health Specialists (621111),,,,,sop@nucofilings.com
3514213,SheR Consulting & Enterprises LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Portfolio Management and Investment Advice (523940),2389 Main St.,Glastonbury,CT,06033,eastern@northwestregisteredagent.com
3514216,"CANTALOUPE, LLC",LLC,Active,2026-09-10,Foreign,,522320,1743 MAPLELAWN DR,TROY,MI,48084,LEGALCOMPLIANCE@CANTALOUPE.COM
3514218,Squirrel Munchy Fiber Arts LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"Fiber, Yarn, and Thread Mills (313110)",89 Great Ring Rd,Sandy Hook,CT,06482-1605,orders@newbusinessfiling.org
3514220,Busy Mom but God 1st LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"Gift, Novelty, and Souvenir Retailers (459420)",90 Sharp Hill Rd,Uncasville,CT,06382-2045,busymombutgod1st@gmail.com
3514222,AN NA SPA INC,Stock,Active,2026-09-10,Domestic,Connecticut,Other Personal Care Services (812199),,,,,amerione.us@gmail.com
3514228,Innovation Anonymous LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Custom Computer Programming Services (541511),2389 Main St.,Glastonbury,CT,06033,eastern@northwestregisteredagent.com
3514230,ChequePoint LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Software Publishers (513210),1278 Summit Road,Cheshire,CT,06410,chequepointapp@gmail.com
3514233,N & P LAND INVESTMENTS LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Other Activities Related to Real Estate (531390),19 Werf Dr,Redding,CT,06896,bocco1117@gmail.com
3514236,PERFECT TOUCH CLEANING LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Janitorial Services (561720),174 Hughes Ave,Bridgeport,CT,06604-1708,patriciapease@gmail.com
3514241,"WillowTree Massage Therapies, LLC",LLC,Active,2026-09-10,Domestic,Connecticut,Other Personal Care Services (812199),235 Main St,Norwich,CT,06360-5833,willowclausonlmt@gmail.com
3514243,Dinaj Stoneworks LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Masonry Contractors (238140),30 MILNE AVE,Shelton,CT,06484-4018,freskid.dinaj@yahoo.com
3514246,DQ Physical Therapy Inc.,Stock,Active,2026-09-10,Domestic,Connecticut,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",,,,,dquirante@fmtgrouphealth.com
3514247,SAKURA WELLNESS Inc.,Stock,Active,2026-09-10,Domestic,Connecticut,All Other Personal Services (812990),,,,,taxmd8@gmail.com
3514248,BBCMS 2024-C24 MARSHALL APARTMENTS LLC,LLC,Active,2026-09-10,Foreign,,525990,"740 E. CAMPBELL RD, SUITE 600",RICHARDSON,TX,75081,BRICKERT@ARGENTICSERVICES.COM
3514255,"Central Diner, LLC",LLC,Active,2026-09-10,Domestic,Connecticut,Full-Service Restaurants (722511),1519 Silas Deane Hwy,Rocky Hill,CT,06067-1303,gmarnelos@me.com
3514261,"10 Shorehaven, LLC",LLC,Active,2026-09-10,Domestic,Connecticut,Other Activities Related to Real Estate (531390),10 Shorehaven Rd,Norwalk,CT,06855-2807,kagriswold@gmail.com
3514263,Oh nails & spa Inc.,Stock,Active,2026-09-10,Domestic,Connecticut,Nail Salons (812113),,,,,info@mandjcpa.com
3514266,SSB LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),14 TERRACE AVE,STAMFORD,CT,06905-3411,sbrealestate14@gmail.com
3514271,"Akrapoint Commercial Capital, LLC",LLC,Active,2026-09-10,Foreign,DELAWARE,Other Commercial and Industrial Machinery and Equipment Rental and Leasing (532490),6609 S Lincoln St,Centennial,CO,80121-2327,mfs-us-entityservices@maples.com
3514272,"EMJAY CT REALTY, LLC",LLC,Active,2026-09-10,Domestic,,531110,"2 BRONXVILLE ROAD, APT. 3B",BRONXVILLE,NY,10708,MIKEFERRARA12@GMAIL.COM
3514273,ON THE SIDE OF THE SKY LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Flooring Contractors (238330),8 Robinview Ter,Danbury,CT,06810-7819,atagualpademon@gmail.com
3514284,OREVRI LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),218 emily drive,OXFORD,CT,06478,ctbusiness.sheri@gmail.com
3514287,nFront Consulting LLC,LLC,Active,2026-09-10,Foreign,FLORIDA,Other Scientific and Technical Consulting Services (541690),4767 New Broad Street,ORLANDO,FL,32814,compliance@nfrontconsulting.com
3514295,JM Tech LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Computer Systems Design Services (541512),13 Lee Rd,Prospect,CT,06712-1831,mark@jmtechct.com
3514322,AMESUR 73 LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Other Activities Related to Real Estate (531390),3223 Main St,Bridgeport,CT,06606-4228,contact@amesur.net
3514338,Little Bear Pok� LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Limited-Service Restaurants (722513),1094 N Colony Rd,Wallingford,CT,06492,littlebearpoke@gmail.com
3514342,7C Enterprises Windsor Locks LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Other Activities Related to Real Estate (531390),100 Griffin Rd,West Suffield,CT,06093-2712,camile@hannoush.com
3514354,Summit to Shore Design LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Interior Design Services (541410),1410 Burr Street,Fairfield,CT,06824,chris@summittoshoredesign.com
3514355,PHOENIX PAINTING LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Painting and Wall Covering Contractors (238320),1575 MAIN ST,WATERBURY,CT,06706,robjosue22@gmail.com
3514358,Johnnie-O Greenwich I LLC,LLC,Active,2026-09-10,Foreign,DELAWARE,Clothing and Clothing Accessories Retailers (458110),2710 Wycliff Rd,Raleigh,NC,27607,klitaya@johnnie-o.com
3514360,More Love Senior Care LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Continuing Care Retirement Communities (623311),2389 Main St.,Glastonbury,CT,06033,eastern@northwestregisteredagent.com
3514361,EAGLE DUMPSTERS LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Other Waste Collection (562119),4 Research Dr,Shelton,CT,06484-6280,thamillap45@outlook.com
3514367,Alexa Rome LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Marketing Consulting Services (541613),10 Meadowbrook Rd.,New Fairfield,CT,06812,filings@corpnet.com
3514375,SMG Services Limited Liability Company,LLC,Active,2026-09-10,Domestic,Connecticut,Finish Carpentry Contractors (238350),60 Moylan Ct,Newington,CT,06111-1408,golfearth@gmail.com
3514377,Mission Gee LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Residential Remodelers (236118),124 Pomfret St,Putnam,CT,06260-1800,mgee860@gmail.com
3514385,Invisible Hug LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"Cosmetics, Beauty Supplies, and Perfume Retailers (456120)",83 Oakwood Cir,Bristol,CT,06010-3125,annmoura@att.net
3514387,The Heart Forward Table Inc.,Non-Stock,Active,2026-09-10,Domestic,Connecticut,Other Individual and Family Services (624190),,,,,theheartforwardtable@gmail.com
3514392,Oneco Mining Co LLC,LLC,Active,2026-09-10,Domestic,Connecticut,All Other Amusement and Recreation Industries (713990),7 Pond,Oneco,CT,06373,onecominingco@gmail.com
3514397,Morning Beles LLC,LLC,Active,2026-09-10,Domestic,Connecticut,All Other General Merchandise Retailers (455219),915 Main St,Hartford,CT,06103-1236,cld2690mil@gmail.com
3514401,YASUEMP LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Professional and Management Development Training (611430),624 Broad Street,Meriden,CT,06450,unchartedsole@gmail.com
3514403,Pure Quality Products LLC,LLC,Active,2026-09-10,Domestic,Connecticut,All Other General Merchandise Retailers (455219),1298 Hartford Tpke,North Haven,CT,06473-2175,qqualityproducts1016@gmail.com
3514410,EMPERIA HOME CARE LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Home Health Care Services (621610),18 Windell Pl,Stamford,CT,06906-2124,support@usa-llc-filing.com
3514411,"Halo Aesthetics, LLC",LLC,Active,2026-09-10,Domestic,Connecticut,Beauty Salons (812112),61 Main St,Centerbrook,CT,06409-1070,halo.fullcircle@gmail.com
3514416,"203 IRON ST GANG, LLC",LLC,Active,2026-09-10,Domestic,Connecticut,New Single-Family Housing Construction except For-Sale Builders (236115),420 Burningtree Dr,Groton,CT,06340-3106,support@usa-llc-filing.com
3514417,Painted and Rooted LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Beauty Salons (812112),244 Main St,Farmington,CT,06032-3643,embbeauty13@gmail.com
3514418,203 PERFORMANCE LLC,LLC,Active,2026-09-10,Domestic,Connecticut,General Automotive Repair (811111),135 INDUSTRY LN,WATERBURY,CT,06704,efile1234@incfile.com
3514419,LA MADONNE LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Lessors of Other Real Estate Property (531190),101 COURT ST,WEST HAVEN,CT,06516,efile1234@incfile.com
3514423,FAMILY TIES LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Outpatient Mental Health and Substance Abuse Centers (621420),91 Sandy Brook Dr,New Britain,CT,06053,support@usa-llc-filing.com
3514426,PRESTIGE PROPERTY OFFERS LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Janitorial Services (561720),1174 CHOPSEY HILL RD,BRIDGEPORT,CT,06606,efile1234@incfile.com
3514429,The Two Sisters Nails LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Nail Salons (812113),9 CHURCH ST,TERRYVILLE,CT,06786,tptc2012@gmail.com
3514433,DECISIVE SOLUTIONS LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),1019 MAIN ST #1118,BRIDGEPORT,CT,06604,efile1234@incfile.com
3514437,jaybajarang mart llc,LLC,Active,2026-09-10,Domestic,Connecticut,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",115 North St,Seymour,CT,06483,krishp503503@gmail.com
3514438,OH YEAH LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Caterers (722320),"36 RUSS STREET , 3RD FLOOR #1725",HARTFORD,CT,06106,efile1234@incfile.com
3514441,PATIENCE M LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Local Messengers and Local Delivery (492210),"36 RUSS STREET , 3RD FLOOR #1726",HARTFORD,CT,06106,efile1234@incfile.com
3514442,NEICA BEAUTY LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"Cosmetics, Beauty Supplies, and Perfume Retailers (456120)","36 RUSS STREET , 3RD FLOOR #1727",HARTFORD,CT,06106,efile1234@incfile.com
3514444,BJOE TRUCKING LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"General Freight Trucking, Long-Distance, Truckload (484121)",51 HENRY ST APT A5,NORWICH,CT,06360,efile1234@incfile.com
3514445,G-Force Graphic Services LLC,LLC,Active,2026-09-10,Foreign,NEW JERSEY,All Other Support Services (561990),44 Prospect Street,Morristown,NJ,07960,susan@gforcegraphics.com
3514446,V & L DEALMAKERS LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Electronics and Appliance Retailers (449210),25 BEVERLY PL,NORWALK,CT,06850,efile1234@incfile.com
3514447,RESOLVE HEALTH PARTNERS LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),2 Mountainview Ter Unit 3234,Danbury,CT,06810-4168,support@usa-llc-filing.com
3514454,MANHATTAN-CONNECTICUT ALLIANCE LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Other Activities Related to Real Estate (531390),1266 E MAIN ST STE 700R,STAMFORD,CT,06902,efile1234@incfile.com
3514460,ROOTED IN HOPE SERVICES LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Other Individual and Family Services (624190),31 OAKLAND AVE,FARMINGTON,CT,06032,efile1234@incfile.com
3514461,NEXT LEVEL HOME IMPROVEMENT SERVICES LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Residential Remodelers (236118),"36 RUSS STREET , 3RD FLOOR #1731",HARTFORD,CT,06106,efile1234@incfile.com
3514463,Luh Shmitt Entertainment LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Musical Groups and Artists (711130),97 Birch Dr,Stratford,CT,06615-7432,luhshmitt.entertainment@gmail.com
3514467,Rosemary Lane LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"Gift, Novelty, and Souvenir Retailers (459420)",2 Lookout Lndg,Ellington,CT,06029-2541,rosemarylaneellington@gmail.com
3514475,"Everpath, Inc.",Stock,Active,2026-09-10,Domestic,Connecticut,Marketing Consulting Services (541613),,,,,meriamfinancial@gmail.com
3514477,Forthamoney Apparel LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),157 Church St,New Haven,CT,06510-2100,info@forthamoney.store
3514480,LY LEGACY HOLDINGS LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),349 W Main Street,Meriden,CT,06451,renovacapitalgroupco@gmail.com
3514482,"Revityl Research, LLC",LLC,Active,2026-09-10,Domestic,Connecticut,All Other General Merchandise Retailers (455219),14 Harmac Dr,East Haven,CT,06513-1208,revitylize@gmail.com
3514498,GloTria Enterprise LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Passenger Car Rental (532111),"914 Forbes St, East Hartford, CT 06118",East Hartford,CT,06118,glotriaenterprise@outlook.com
3514503,Kinovis LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Custom Computer Programming Services (541511),777 W Putnam Ave,Greenwich,CT,06830-5091,mike@patchen.com
3514505,Conn Glass & Metal LLC,LLC,Active,2026-09-10,Domestic,Connecticut,All Other Specialty Trade Contractors (238990),4 Gaylord Rd,Windsor Locks,CT,06096-2815,admin@conngm.com
3514509,Stearns Subsidiary LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),148 Black Rock Tpke,Redding,CT,06896-2515,wendyguthrie@mail.com
3514511,Wren Medical PLLC,LLC,Active,2026-09-10,Domestic,Connecticut,Offices of All Other Miscellaneous Health Practitioners (621399),54 Grist Mill Rd,Monroe,CT,06468-1348,admin@wrenmedicalgroup.com
3514513,The New England Voice LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers (516210)",15 North Main St.,West Hartford,CT,06107,author@isabelcalione.com
3514523,United States Wrestling Federation LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Other Performing Arts Companies (711190),405 Rt 163,Montville,CT,06353,uswf1996@gmail.com
3514527,Arros Safe Rides LLC,LLC,Active,2026-09-10,Domestic,Connecticut,School and Employee Bus Transportation (485410),25 Bushnell Ave,Oakville,CT,06779-1403,andrewmcavallo@protonmail.com
3514536,Concise Business Consulting LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Administrative Management and General Management Consulting Services (541611),31 Charter Oak Pl,Hartford,CT,06106,eastern@northwestregisteredagent.com
3514538,Ember Rose Holdings LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Other Activities Related to Real Estate (531390),38 Hickey Rd Center,Pomfret Center,CT,06259,vjgamble@hotmail.com
3514540,Aqua Eagle Water Pros LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",21 Milford Hunt Ln,Milford,CT,06461-9146,aquaeaglewaterpros@gmail.com
3514545,MARZA BEAUTY SALON LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Nail Salons (812113),651 Enfield St,Enfield,CT,06082-2912,info@pmconsultinggroup.net
3514561,KUPEC ENTERPRISES INC,Stock,Active,2026-09-10,Domestic,Connecticut,General Automotive Repair (811111),,,,,mike@abapc.com
3514569,Refrigeration Guy LLC,LLC,Active,2026-09-10,Domestic,Connecticut,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",253 Wilson Ave,Norwalk,CT,06854,services.refrigerationguy@gmail.com
3514574,ZV Improvement LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Residential Remodelers (236118),70 Castle Dr,Stratford,CT,06614-2932,raulzeladav@gmail.com
3514575,Consciously Positive LLC,LLC,Active,2026-09-10,Domestic,Connecticut,All Other Miscellaneous Schools and Instruction (611699),46 Middle Quarter Rd,Woodbury,CT,06798,cpwithkris@gmail.com
3514579,Beacon Alder Procurement LLC,LLC,Active,2026-09-10,Domestic,Connecticut,Stationery and Office Supplies Merchant Wholesalers (424120),114 Miles St,Bridgeport,CT,06607-2111,beaconalder@shellsourcing.com
3514583,24 Operating Company LLC,LLC,Active,2026-09-10,Domestic,Connecticut,All Other Personal Services (812990),1 Peaslee Hl,West Hartford,CT,06117-2918,ronssnv@gmail.com
3514669,INOTIV HOLDINGS III LLC,LLC,Active,2026-09-10,Foreign,,541714,2701 KENT AVENUE,WEST LAFEYETTE,IN,47906,LEGALOPERATIONS@INOTIV.COM
3514672,"HUGEL AMERICA, INC.",Stock,Active,2026-09-10,Foreign,,424210,"5 PARK PLAZA, SUITE 1750",IRVINE,CA,92614,US.TAXES@HUGEL-AESTHETICS.COM
3514684,"RAHF SQUIRE PRESERVATION, LLC",LLC,Active,2026-09-10,Foreign,,531110,1083 VINE STREET #828,HEALDSBURG,CA,95448,LOUIS@TNGRM.COM
3514691,"RAHF SQUIRE PRESERVATION MM, LLC",LLC,Active,2026-09-10,Foreign,,,1083 VINE STREET #828,HEALDSBURG,CA,95448,LOUIS@TNGRM.COM
3514867,THE TORO COMPANY,Stock,Active,2026-09-10,Foreign,,,8111 LYNDALE AVENUE SOUTH,BLOOMINGTON,MN,55420,LEGAL.TORO@TORO.COM
3465921,Wolf Construction Corporation 2018,Stock,Active,2026-09-09,Foreign,NEW YORK,Commercial and Institutional Building Construction (236220),56w 45th Street,New York,NY,10036,gwolf@wolfconstructioncorp.com
3490394,"Greenlight Ascent, LLC",LLC,Active,2026-09-09,Foreign,UTAH,Administrative Management and General Management Consulting Services (541611),30 Upson Ter,New Haven,CT,06512-5028,mark@greenlightascent.com
3493439,"The Land Trust Alliance, Inc.",Non-Stock,Active,2026-09-09,Foreign,MASSACHUSETTS,Other Grantmaking and Giving Services (813219),1250 H St NW,Washington,DC,20005-3952,ldavis@clrkc.com
3505713,4CEnergy LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Petroleum and Petroleum Products Merchant Wholesalers except Bulk Stations and Terminals (424720),44 Beacon St,Waterbury,CT,06704-3422,4cenergyllc26@gmail.com
3507710,SIA Solutions LLC,LLC,Active,2026-09-09,Domestic,Connecticut,All Other Miscellaneous Ambulatory Health Care Services (621999),52 Fitch Meadow Lane,South Windsor,CT,06074,sia.solutions26.llc@gmail.com
3508123,Starling Reading Retreats LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Recreational and Vacation Camps except Campgrounds (721214),89 Ledgewood Rd,Groton,CT,06340,starlingreadingretreats@gmail.com
3508865,86 Exchange Place LLC,LLC,Active,2026-09-09,Foreign,NEW JERSEY,Lessors of Residential Buildings and Dwellings (531110),1729 Cobblestone Court,Toms River,NJ,08755,yonirbils@gmail.com
3509787,Merit Commercial Cleaning LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Janitorial Services (561720),231 Russell St,New Haven,CT,06513-4124,chris.sebastian@cleanwithmerit.com
3511717,Healthy Chapters Nutrition LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Food Health Supplement Retailers (456191),12 Spruce Street,Jewett City,CT,06351,cjgjlm12@live.com
3512672,CONEXION LATINA LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Convenience Retailers (445131),1636 Baldwin St,Waterbury,CT,06706-2008,salazartony679@gmail.com
3512908,MC Trust Home Improvement llc,LLC,Active,2026-09-09,Domestic,Connecticut,Residential Property Managers (531311),53 Golden Hill Rd,Danbury,CT,06811-4629,miltoncurillo@sbcglobal.net
3512974,TLL Transportation LLC,LLC,Active,2026-09-09,Domestic,Connecticut,All Other Transit and Ground Passenger Transportation (485999),349 Meriden Rd,Waterbury,CT,06705-2202,lexusnieves@gmail.com
3512985,Matrix of Mind Systemic Counseling Solutions PLLC,LLC,Active,2026-09-09,Domestic,Connecticut,"All Other Professional, Scientific, and Technical Services (541990)",202 Gillette Rd.,New Hartford,CT,06057,jmancinone@matrixofmindcounselingsolutions.com
3512989,Sauri Shine solutions LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Janitorial Services (561720),38 Atwood Ct,Watertown,CT,06795-2659,registrationhelp01@outlook.com
3512997,Going Infinite FFA LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Portfolio Management and Investment Advice (523940),212 Gulf St,Milford,CT,06460-4838,kevinpreneta325@gmail.com
3513000,"Munk Home Remodeling, LLC",LLC,Active,2026-09-09,Domestic,Connecticut,Residential Remodelers (236118),42 Glen Ter,Stamford,CT,06906,josh@sellmycthometoday.com
3513013,Kxautodrive-Ltd LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Passenger Car Rental (532111),64 Gorham ave,Hamden,CT,06514,incorporation@corporatedocfiling.com
3513017,Cornerstone Project Management LLC,LLC,Active,2026-09-09,Domestic,Connecticut,New Single-Family Housing Construction except For-Sale Builders (236115),169 Woodside Ave,Bridgeport,CT,06606,cornerstonemppm@gmail.com
3513018,30 Norwich Road LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Other Activities Related to Real Estate (531390),8 West Main Street,Baltic,CT,06330,rajvirenpatel@gmail.com
3513028,STRAWBERRY FIELDS HAT BAR LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Clothing and Clothing Accessories Retailers (458110),64 Curt Smith Rd,Southbury,CT,06488,nbroadbrook@gmail.com
3513031,JaniG LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Marketing Consulting Services (541613),48 Nanel Dr,Glastonbury,CT,06033,jjg.theofficial@gmail.com
3513032,"FOOTBALLCO US, INC.",Stock,Active,2026-09-09,Foreign,DELAWARE,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers (516210)",7 W 22ND ST,NEW YORK,NY,10010,stephanie@messaslaw.com
3513035,R&R PROS CONSTRUCTION LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Residential Remodelers (236118),1166 Forbes St,East Hartford,CT,06118-2220,rrprosconstruction@gmail.com
3513038,Central Equities LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Lessors of Residential Buildings and Dwellings (531110),1274 49th Street,Brooklyn,NY,11219,chaimaron90@gmail.com
3513042,"SMS CT MG09C, LLC",LLC,Active,2026-09-09,Foreign,DELAWARE,Engineering Services (541330),51 S. Broad St,Ridgewood,NJ,07450,legal@scalemicrogrids.com
3513053,Dynasty Real Estate Equity LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Other Activities Related to Real Estate (531390),156 Denslow Hill Rd,Hamden,CT,06514-2004,athomas.ctrealtor@gmail.com
3513057,Gitche Gumee LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Other Activities Related to Real Estate (531390),281 Mountain Rd,Norfolk,CT,06058,dhk@kennedyluce.com
3513062,"CONN-STEEL, LLC",LLC,Active,2026-09-09,Domestic,Connecticut,"All Other Professional, Scientific, and Technical Services (541990)",46 Benz St,Ansonia,CT,06401-2559,battaglinob@aol.com
3513064,Shinobi Auto Works LLC,LLC,Active,2026-09-09,Domestic,Connecticut,General Automotive Repair (811111),56 Stock Place,Manchester,CT,06042,joseph.santaniello@outlook.com
3513076,AJ Beauty Studio LLC,LLC,Active,2026-09-09,Domestic,Connecticut,Other Personal Care Services (812199),590 Danbury Rd,Ridgefield,CT,06877-2722,ajbeautystudioct@gmail.com
