camis,restaurant,cuisine,building,street,borough,zip,phone,inspected,inspection_type,violation_code,violation,critical,action,score,grade
50169426,LE CAFE COFFEE,American,15,HANOVER PLACE,Brooklyn,11201,6174477811,2026-09-08,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,29,
50177170,ROUND K,Coffee/Tea,78,CANAL STREET,Manhattan,10002,9177768797,2026-09-08,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,29,N
50177986,MEZEH,Mediterranean,900,BROADWAY,Manhattan,10003,6465450078,2026-09-08,Pre-permit (Operational) / Re-inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,51,Z
50183908,MI CASAsaqueovelasquez09,Latin American,45-12,104 STREET,Queens,11368,9179378200,2026-09-08,Pre-permit (Operational) / Initial Inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,25,N
50184185,YUMYUM,American,221,BROOK AVENUE,Bronx,10454,6465754066,2026-09-08,Pre-permit (Operational) / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,142,N
41672397,GREENWOOD PARK,American,555,7 AVENUE,Brooklyn,11215,7184997999,2026-09-05,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,26,
50011784,HALAL RESTAURANT,African,1174,FULTON STREET,Brooklyn,11216,3474057708,2026-09-05,Cycle Inspection / Re-inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,26,Z
50116976,PURE GREEN,"Juice, Smoothies, Fruit Salads",5,BLUE SLIP,Brooklyn,11222,9176585218,2026-09-05,Cycle Inspection / Initial Inspection,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,Violations were cited in the following area(s).,32,
50132934,LA MODE BK,Caribbean,1401,BEDFORD AVENUE,Brooklyn,11216,5168593194,2026-09-05,Cycle Inspection / Re-inspection,04M,Live roaches in facility's food or non-food area.,Critical,Violations were cited in the following area(s).,22,Z
50150953,BIANCO NERO GELATERIA,Frozen Desserts,33-20,DITMARS BOULEVARD,Queens,11105,9179200789,2026-09-05,Cycle Inspection / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,24,
50188497,TEN SUSHI,Japanese,440,7 AVENUE,Brooklyn,11215,8482986888,2026-09-05,Pre-permit (Operational) / Initial Inspection,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,Violations were cited in the following area(s).,21,N
