permit,job_filing,filing_reason,issued,approved,expires,work_type,job_description,estimated_cost,house,street,borough,zip,contractor_license_type,contractor_business,contractor_address,owner_business,owner_city,owner_state,status
Q01453805-I1-SL,Q01453805-I1,Initial Permit,2026-09-10,2026-09-08,2027-06-01,Solar,"Installation of solar system on the roof as per plan. No change in use, egress or occupancy",15867,72-24,136 STREET,Queens,11367,GC,TRINITY SOLAR LLC,2211 ALLENWOOD ROAD,Not Applicable,,,Permit Issued
Q01453891-I1-GC,Q01453891-I1,Initial Permit,2026-09-10,2026-09-08,2027-04-01,General Construction,"INTERIOR RENOVATION OF EXISTING TWO STORY HOUSE. NO CHANGE IN USE, OCCUPANCY OR EGRESS.",93500,33-27,154 STREET,Queens,11354,GC,XINLI.CONSTRUCTION LLC,148 BAY 26 STREET,C&X PROPERTY HOLDING LLC,,,Permit Issued
Q01453891-S1-PL,Q01453891-S1,Initial Permit,2026-09-10,2026-09-08,2027-02-03,Plumbing,FILE PL WORKTYPE IN CONJUNCTION WITH JOB#Q01453891,25500,33-27,154 STREET,Queens,11354,P,"WATSON'S PLBG, HTG, & BDG",855 ST. NICHOLAS AVENUE,C&X PROPERTY HOLDING LLC,,,Permit Issued
Q01453995-I1-SL,Q01453995-I1,Initial Permit,2026-09-10,2026-09-03,2026-09-30,Solar,"INSTALLATION OF SOLAR PANELS, ROOFTOP, RAILED, GRID-TIED, 6 MODULES, 2.46KW",12300,158-47,75 ROAD,Queens,11366,PE,MOMENTUM SOLAR,3096 B HAMILTON BLVD,Not Applicable,,,Permit Issued
Q01454181-I1-SL,Q01454181-I1,Initial Permit,2026-09-10,2026-09-03,2026-10-01,Solar,"FILING HEREWITH TAX ABATEMENT APPLICATION FOR INSTALLATION OF ROOF-MOUNTED SOLAR PANELS. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",33750,88-50,SABRE STREET,Queens,11427,GC,SUNRUN INSTALLATION SVC,775 FIERO LN STE 200,Not Applicable,,,Permit Issued
Q01454614-I1-SL,Q01454614-I1,Initial Permit,2026-09-10,2026-09-09,2027-06-01,Solar,"Installation of solar system on the roof as per plan. No change in use, egress or occupancy",38228.4,115-88,233 STREET,Queens,11411,GC,TRINITY SOLAR LLC,2211 ALLENWOOD ROAD,Not Applicable,,,Permit Issued
Q01454616-I1-SL,Q01454616-I1,Initial Permit,2026-09-10,2026-09-08,2027-06-01,Solar,"Installation of solar system on the roof as per plan. No change in use, egress or occupancy",27638.1,220-11,94 DRIVE,Queens,11428,GC,TRINITY SOLAR LLC,2211 ALLENWOOD ROAD,Not Applicable,,,Permit Issued
Q01454621-I1-SL,Q01454621-I1,Initial Permit,2026-09-10,2026-09-04,2026-12-31,Solar,INSTALLATION OF PV SYSTEM ON EXISTING ROOFTOP. NO CHANGES TO EGRESS OR USE OF OCCUPANCY.,24996,34-53,62 STREET,Queens,11377,GC,THE GREEN PLUG LLC,1 OLD COUNTRY RD SUITE 250,Not Applicable,,,Permit Issued
Q01454930-S1-PL,Q01454930-S1,Initial Permit,2026-09-10,2026-09-08,2027-01-01,Plumbing,"PLUMBING WORK OF EXISTING 3-FAMILY BUILDING AS PER PLAN FILED HEREWITH. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",48000,14-24,ASTORIA BOULEVARD,Queens,11102,P,P.S.I. MECHANICAL,"122-17 18 AVE,1ST FL UNIT STORE",1424 Astoria Blvd LLC,,,Permit Issued
Q01455068-S1-PL,Q01455068-S1,Initial Permit,2026-09-10,2026-09-03,2027-04-25,Plumbing,"PLUMBING WORK FOR EXISTING STORE ON CELLAR, 1ST FLOOR. NO CHANGE IN USE, OCCUPANCY AND EGRESS UNDER THIS APPLICATION.",29500,164-01,NORTHERN BOULEVARD,Queens,11358,P,PETER PLUMBING ASSOC. INC,129-09 26TH AVENUE,PR,,,Permit Issued
Q01455661-I1-GC,Q01455661-I1,Initial Permit,2026-09-10,2026-09-08,2027-05-19,General Construction,Laminate existing walls and ceilings with gypsum boards and refinish wood flooring,50000,32-26,204 STREET,Queens,11361,GC,BUILDTEK LLC,139-46 HILLSIDE AVE,n/a,,,Permit Issued
Q01455724-I1-SL,Q01455724-I1,Initial Permit,2026-09-10,2026-09-08,2026-09-30,Solar,"Installation of solar panels, rooftop, grid tied, railed, 6 modules, 2.46 KW",12300,97-52,104 STREET,Queens,11416,PE,MOMENTUM SOLAR,3096 B HAMILTON BLVD,Not Applicable,,,Permit Issued
Q01455756-I1-FN,Q01455756-I1,Initial Permit,2026-09-10,2026-09-08,2026-12-27,Construction Fence,"Install 8' height temporary construction fence @ OSP. No change in use, egress and occupancy",2750,108-35,171 PLACE,Queens,11433,GC,ZAQ CONSTRUCTION INC,"39-15 MAIN STREET, 308",Not Applicable,,,Permit Issued
Q01455847-I1-GC,Q01455847-I1,Initial Permit,2026-09-10,2026-09-09,2027-03-04,Mechanical Systems,"INTERIOR & EXTERIOR RENOVATION OF AN EXISTING 2 FAMILY HOUSE WITH , REPAIRING FLOOR, CEILING, STAIR, NEW PARTITION, PAINTING , REPLACE WINDOWS, DOORS , REPLACE FRONT STAIR, INSTALL NEW AC UNITS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",159000,31-22,36 STREET,Queens,11106,GC,MERCURY BUILDING ASSO INC,124-15 METROPOLITAN AVENUE,Not Applicable,,,Permit Issued
Q01455847-I1-MS,Q01455847-I1,Initial Permit,2026-09-10,2026-09-09,2027-03-04,Mechanical Systems,"INTERIOR & EXTERIOR RENOVATION OF AN EXISTING 2 FAMILY HOUSE WITH , REPAIRING FLOOR, CEILING, STAIR, NEW PARTITION, PAINTING , REPLACE WINDOWS, DOORS , REPLACE FRONT STAIR, INSTALL NEW AC UNITS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",159000,31-22,36 STREET,Queens,11106,GC,MERCURY BUILDING ASSO INC,124-15 METROPOLITAN AVENUE,Not Applicable,,,Permit Issued
Q01456891-I1-EW-SP,Q01456891-I1,Initial Permit,2026-09-10,2026-09-10,2026-12-31,Sprinklers,"MODIFICATION OF AN EXISTING SPRINKLER SYSTEM ON THE 3RD FLOOR AT JD SPORTS STORE AS PER PLANS SUBMITTED HEREWITH, NO CHANGE IN USE, EGRESS OR OCCUPANCY GROUP.",18000,90-15,QUEENS BOULEVARD,Queens,11373,F,SIRINA FIRE PROT CORP,"450 7TH AVENUE, SUITE 506",MACERICH,,,Permit Issued
Q01457008-I1-PMM,Q01457008-I1,Initial Permit,2026-09-10,2026-09-10,2027-04-01,Protection and Mechanical Methods,"Installation Of Temporary Single Personnel Hoist As per Plans Submitted. Work shall comply with 2022 building codes chapter 33. No change in use, egress and/or occupancy with this application.",10000,54-11,QUEENS BOULEVARD,Queens,11377,GC,CS BRIDGE CORP,1470 BRUCKNER BLVD,NOSTRAND LAND LLC,,,Permit Issued
Q01457746-I1-SF,Q01457746-I1,Initial Permit,2026-09-10,2026-09-10,2027-01-18,Supported Scaffold,"PROPOSED INSTALLATION OF TEMPORARY PIPE SCAFFOLD AS PER PLANS. WORK SHALL COMPLY WITH CHAPTER #33 OF THE NYC BUILDING CODE. NO CHANGE IN USE, OCCUPANCY, OR EGRESS UNDER THIS APPLICATION.",9000,88-29,51 AVENUE,Queens,11373,GC,RELIABLE ENTERPRISES INC,1431 BRUCKNER BOULEVARD,RELIABLE ENTERPRISES INC,,,Permit Issued
S00844614-S8-MS,S00844614-S8,Initial Permit,2026-09-10,2025-02-24,2027-05-01,Mechanical Systems,"Mechanical system for a three story, one-family detached residence with accessory built-in two-car garage.",0,34,CARLTON PLACE,Staten Island,10301,GC,"NELLO HOMES, INC",21 PRALL AVE,NELLO DEVELOPMENT CORP,,,Permit Issued
S01112084-I1-GC,S01112084-I1,Initial Permit,2026-09-10,2024-10-08,2026-11-17,General Construction,Alt/Co to change tenant spaces from two to three and change of occupant loads. New 2-hr. rated demising partitions and toilet partitions to be installed. Existing ductwork distribution in spaces 2 & 3 to be removed. Rooftop units and trunks,42908,185,BRICKTOWN WAY,Staten Island,10309,GC,DUNCAN ROAD DEVELOPERS,2001 GROVE STREET,BRIDLE ESTATES INC,,,Permit Issued
S01209433-S1-PL,S01209433-S1,Initial Permit,2026-09-10,2025-11-17,2026-12-01,Plumbing,PL SOW FILED IN CONJUNCTION w S01209433-I1 (GC) and S01209433-S2 (MS) WORK TYPES AS RELATED TO ACCESSORY EMERGENCY GENERATOR (GAS) AND MECHANICAL EQUIPMENT AS SPECIFIED HEREIN .,30000,694,NEW DORP LANE,Staten Island,10306,P,TRISTATE PLBG SVCS CORP,1431 CROMWELL AVENUE,A VERY SPECIAL PLACE,,,Permit Issued
S01286455-I1-GC,S01286455-I1,Initial Permit,2026-09-10,2025-10-16,2027-01-01,General Construction,"Herewith, Filing Modifications to Servery /Kitchen. Work includes the Removal and/or Replacement of Interior partitions, ceiling systems, finishes, and Millwork as per the plans. No changes to egress, occupancy, or use.",618352,2800 J,VICTORY BOULEVARD,Staten Island,10314,GC,GRYPHON CONSTRUCTION INC,28 HILLTOP BLVD,DASNY,,,Permit Issued
S01286455-S3-PL,S01286455-S3,Initial Permit,2026-09-10,2025-10-30,2026-10-31,Plumbing,"PLUMBING WORK ON CEL, 001 FLOORS AS SHOWN HEREWITH. NO CHANGES TO EGRESS, OCCUPANCY OR USE",340000,2800 J,VICTORY BOULEVARD,Staten Island,10314,P,"PAR PLUMBING CO., INC",101 PARK AVENUE LOWER LOBBY,DASNY,,,Permit Issued
S01289834-I1-FO-EA,S01289834-I1,Initial Permit,2026-09-10,2025-11-14,2026-10-04,Foundation,CONSTRUCT DETACHED TWO FAMILY RESIDENCE WITH BUILT IN ONE CAR GARAGE AND ACCESSORY OFF STREET PARKING FOR TWO CARS.,0,148,WOODVALE AVENUE,Staten Island,10309,GC,AMERICAN HOME BUILDING AN,59 PURCELL STREET,AMERICAN HOME BUILDING AND MASONRY,,,Permit Issued
S01289834-I1-ST,S01289834-I1,Initial Permit,2026-09-10,2025-11-14,2026-10-04,Earth Work,CONSTRUCT DETACHED TWO FAMILY RESIDENCE WITH BUILT IN ONE CAR GARAGE AND ACCESSORY OFF STREET PARKING FOR TWO CARS.,0,148,WOODVALE AVENUE,Staten Island,10309,GC,AMERICAN HOME BUILDING AN,59 PURCELL STREET,AMERICAN HOME BUILDING AND MASONRY,,,Permit Issued
S01289838-I1-FO-EA,S01289838-I1,Initial Permit,2026-09-10,2025-11-17,2026-10-04,Foundation,CONSTRUCT DETACHED TWO FAMILY RESIDENCE WITH BUILT IN ONE CAR GARAGE AND ACCESSORY OFF STREET PARKING FOR TWO CARS.,0,154,WOODVALE AVENUE,Staten Island,10309,GC,AMERICAN HOME BUILDING AN,59 PURCELL STREET,AMERICAN HOME BUILDING AND MASONRY,,,Permit Issued
S01289838-I1-ST,S01289838-I1,Initial Permit,2026-09-10,2025-11-17,2026-10-04,General Construction,CONSTRUCT DETACHED TWO FAMILY RESIDENCE WITH BUILT IN ONE CAR GARAGE AND ACCESSORY OFF STREET PARKING FOR TWO CARS.,0,154,WOODVALE AVENUE,Staten Island,10309,GC,AMERICAN HOME BUILDING AN,59 PURCELL STREET,AMERICAN HOME BUILDING AND MASONRY,,,Permit Issued
S01289840-I1-FO-EA,S01289840-I1,Initial Permit,2026-09-10,2025-11-17,2026-10-04,General Construction,CONSTRUCT TWO FAMILY RESIDENT WITH BUILT IN ONE CAR GARAGE AND ACCESORY OFF STREET PARKING FOR TWO CARS,0,156,WOODVALE AVENUE,Staten Island,10309,GC,AMERICAN HOME BUILDING AN,59 PURCELL STREET,AMERICAN HOME BUILDING AND MASONRY,,,Permit Issued
S01289840-I1-ST,S01289840-I1,Initial Permit,2026-09-10,2025-11-17,2026-10-04,Structural,CONSTRUCT TWO FAMILY RESIDENT WITH BUILT IN ONE CAR GARAGE AND ACCESORY OFF STREET PARKING FOR TWO CARS,0,156,WOODVALE AVENUE,Staten Island,10309,GC,AMERICAN HOME BUILDING AN,59 PURCELL STREET,AMERICAN HOME BUILDING AND MASONRY,,,Permit Issued
S01294484-I1-GC,S01294484-I1,Initial Permit,2026-09-10,2026-03-03,2027-01-01,General Construction,"Renovate restrooms on the 1st floor including addition of fixtures, new partitions and finishes ; related work on cellar and roof; all work as per plans filed herewith.",175541,2800P,VICTORY BOULEVARD,Staten Island,10314,GC,GRYPHON CONSTRUCTION INC,28 HILLTOP BLVD,CUNY,,,Permit Issued
S01294604-I1-GC,S01294604-I1,Initial Permit,2026-09-10,2025-12-17,2027-01-01,General Construction,Building 1P: remove and install new partitions and finishes to accommodate renovation of the bathrooms in the existing college building.,427294,2800Y,VICTORY BOULEVARD,Staten Island,10314,GC,GRYPHON CONSTRUCTION INC,28 HILLTOP BLVD,CUNY,,,Permit Issued
S01320049-S1-MS,S01320049-S1,Initial Permit,2026-09-10,2026-08-21,2027-01-07,Mechanical Systems,"Verizon site. Replacement of existing generator with new non-emergency gas generator on the roof. No change in use, egress or occupancy.",40000,373,VETERANS ROAD WEST,Staten Island,10309,GC,ODYSSIA GLOBAL COMM. CORP,24-34 45TH STREET,GTB HYLAN LLC,,,Permit Issued
S01358029-I1-GC,S01358029-I1,Initial Permit,2026-09-10,2026-06-18,2027-04-01,General Construction,"NYU PHYSICIAN PRACTICE - 1534 VICTORY BLVD - INTERIOR RENOVATIONS TO EXISTING FIRST FLOOR AMBULATORY CARE FACILITY AND FINISHES AT LOBBY ENTRANCE. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",1332987,1534,VICTORY BOULEVARD,Staten Island,10314,GC,TALISEN CONSTRUCTION CORP,"213 WEST 35TH STREET,STE#1302",1360 HYLAN BLVD LLC,,,Permit Issued
S01398838-S1-PL,S01398838-S1,Initial Permit,2026-09-10,2026-08-12,2026-09-26,Plumbing,PLUMBING APPLICATION FILED IN CONJUNCTION WITH NB APPLICATION FOR NEW BUILDING & DETACHED GARAGE ON LOT.,0,26,JANSEN STREET,Staten Island,10312,P,"QUALITY PLUMBING, INC",40 LASALLE STREET,SAGONA LANDSCAPING.LTD,,,Permit Issued
S01398887-S1-PL,S01398887-S1,Initial Permit,2026-09-10,2026-08-12,2026-09-26,Plumbing,PLUMBING APPLICATION FILED IN CONJUNCTION WITH NB APPLICATION FOR HOUSE & GARAGE ON LOT,0,32,JANSEN STREET,Staten Island,10312,P,"QUALITY PLUMBING, INC",40 LASALLE STREET,SAGONA LANDSCAPING.LTD,,,Permit Issued
S01402528-I1-GC,S01402528-I1,Initial Permit,2026-09-10,2026-06-18,2027-01-01,General Construction,"Non-structural replacement of existing canopy fascia. No change in use, egress or occupancy.",20000,630,ARTHUR KILL ROAD,Staten Island,10308,GC,WOODSIDE ASSOCIATES INC,19 MT PLEASANT AVENUE,STACEY MANAGEMENT,,,Permit Issued
S01402528-S1-GC,S01402528-S1,Initial Permit,2026-09-10,2026-06-22,2027-01-01,General Construction,"Removal of existing building fascia panels/ sign. No change in use, egress or occupancy.",5000,630,ARTHUR KILL ROAD,Staten Island,10308,GC,WOODSIDE ASSOCIATES INC,19 MT PLEASANT AVENUE,STACEY MANAGEMENT,,,Permit Issued
S01406069-I1-FO,S01406069-I1,Initial Permit,2026-09-10,2026-09-08,2026-12-22,General Construction,"Construct a 3-story, one-family detached residence with an accessory ADU,",0,32,MALONE AVENUE,Staten Island,10306,GC,MAXIMUM CONTRACTING INC,18 VANDERBILT AVENUE,JM Trinity Holdings LLC,,,Permit Issued
S01406069-I1-GC,S01406069-I1,Initial Permit,2026-09-10,2026-09-08,2026-12-22,Structural,"Construct a 3-story, one-family detached residence with an accessory ADU,",0,32,MALONE AVENUE,Staten Island,10306,GC,MAXIMUM CONTRACTING INC,18 VANDERBILT AVENUE,JM Trinity Holdings LLC,,,Permit Issued
S01406097-I1-FO,S01406097-I1,Initial Permit,2026-09-10,2026-09-08,2026-12-22,General Construction,"Construct a 3-story, one-family detached residence with an accessory ADU,",0,40,MALONE AVENUE,Staten Island,10306,GC,MAXIMUM CONTRACTING INC,18 VANDERBILT AVENUE,JM Trinity Holdings LLC,,,Permit Issued
S01406097-I1-GC,S01406097-I1,Initial Permit,2026-09-10,2026-09-08,2026-12-22,Foundation,"Construct a 3-story, one-family detached residence with an accessory ADU,",0,40,MALONE AVENUE,Staten Island,10306,GC,MAXIMUM CONTRACTING INC,18 VANDERBILT AVENUE,JM Trinity Holdings LLC,,,Permit Issued
S01406097-I1-ST,S01406097-I1,Initial Permit,2026-09-10,2026-09-08,2026-12-22,Foundation,"Construct a 3-story, one-family detached residence with an accessory ADU,",0,40,MALONE AVENUE,Staten Island,10306,GC,MAXIMUM CONTRACTING INC,18 VANDERBILT AVENUE,JM Trinity Holdings LLC,,,Permit Issued
S01406100-I1-FO,S01406100-I1,Initial Permit,2026-09-10,2026-09-08,2026-12-22,Foundation,"Construct a 3-story, one-family detached residence with an accessory ADU,",0,42,MALONE AVENUE,Staten Island,10306,GC,MAXIMUM CONTRACTING INC,18 VANDERBILT AVENUE,JM Trinity Holdings LLC,,,Permit Issued
S01406100-I1-GC,S01406100-I1,Initial Permit,2026-09-10,2026-09-08,2026-12-22,Foundation,"Construct a 3-story, one-family detached residence with an accessory ADU,",0,42,MALONE AVENUE,Staten Island,10306,GC,MAXIMUM CONTRACTING INC,18 VANDERBILT AVENUE,JM Trinity Holdings LLC,,,Permit Issued
S01406100-I1-ST,S01406100-I1,Initial Permit,2026-09-10,2026-09-08,2026-12-22,General Construction,"Construct a 3-story, one-family detached residence with an accessory ADU,",0,42,MALONE AVENUE,Staten Island,10306,GC,MAXIMUM CONTRACTING INC,18 VANDERBILT AVENUE,JM Trinity Holdings LLC,,,Permit Issued
S01412858-I1-GC-CX,S01412858-I1,Initial Permit,2026-09-10,2026-07-08,2026-09-18,Earth Work,"new wood deck at rear of residence, no change to exist use/egress/occupancy/yards/bulk proposed under this action",20500,111,GLENWOOD AVENUE,Staten Island,10301,GC,M&R IMPROVEMENTS CORP,143 VINELAND AVE,Not Applicable,,,Permit Issued
S01417300-S2-GC,S01417300-S2,Initial Permit,2026-09-10,2026-09-01,2026-11-08,General Construction,"REBUILD THE EXISTING FIRE, SMOKE & WATER DAMAGED WALLS, CEILING, AND FLOOR FINISHES AT FIRST THROUGH SIXTH FLOORS, APARTMENTS INCLUDE 106-606 & 107-607 AND SELECTED HALLWAYS. NO CHANGE TO LAYOUTS, STRUCTURAL INTEGRITY, USE EGRESS OR OCCUPAN",1145100,55,BOWEN STREET,Staten Island,10304,GC,CHATEAU GC LLC,"1044 NORTHERN BLVD, 2ND FL",PROGRESSIVE MANAGMENT,,,Permit Issued
S01420305-I1-GC,S01420305-I1,Initial Permit,2026-09-10,2026-07-28,2026-12-10,General Construction,"Interior renovation to remove illegal partition wall, to remedy violation # 39190803R and 39190804Z. Plumbing work was filed by LAA #S01385105. No change in use, egress or occupancy",20000,216,ARLENE STREET,Staten Island,10314,GC,GENESIS NYC CONSTRUCTION,136-18 39TH AVENUE. SUITE 601,Not Applicable,,,Permit Issued
S01441005-I1-FN,S01441005-I1,Initial Permit,2026-09-10,2026-09-09,2026-12-11,Construction Fence,"SHCC /Noble Maritime Collection - INSTALLATION OF CONSTRUCTION FENCE TO SEPARATE PUBLICA AREA FROM WORK AREAS, RELATED DOB# S00988880",4000,1000 D,RICHMOND TERRACE,Staten Island,10310,GC,CORBEX INC,351 DENTON AVENUE,DDC,,,Permit Issued
S01443107-I1-PL,S01443107-I1,Initial Permit,2026-09-10,2026-09-08,2027-02-16,Plumbing,"PLUMBING WORK TO REPLACE (1) EXIST BOILER & (1) EXIST HWH, & INSTALL (1) ADDITIONAL NEW BOILER & (1) ADDITIONAL NEW HWH AT CELLAR. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",26000,27,EDGEGROVE AVENUE,Staten Island,10312,P,FLOWRITE SYSTEMS CORP,46353 44TH ROAD,VKW DESIGN INC,,,Permit Issued
S01447170-I1-SL,S01447170-I1,Initial Permit,2026-09-10,2026-08-18,2026-11-15,Solar,"INSTALLATION OF SOLAR PANELS ON ROOF. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",31489.65,59,RIVERSIDE LANE,Staten Island,10302,RA,"TOM PETERSEN ARCHITECT, LLC",6 COUNTRY LANE,Not Applicable,,,Permit Issued
S01450772-I1-SG,S01450772-I1,Initial Permit,2026-09-10,2026-09-10,2026-12-19,Sign,"ILLUMINATED NON-ADVERTISING ACCESSORY WALL SIGN - IN PROPERTY LINES - SHASHLIK HOUSE. NO CHANGE OF USE, EGRESS OR OCCUPANCY.",2500,3161,AMBOY ROAD,Staten Island,10306,S,MAD SIGNS INC,165B INDUSTRIAL LOOP,OAKWOOD CENTER LLC,,,Permit Issued
S01451942-I1-SL,S01451942-I1,Initial Permit,2026-09-10,2026-09-10,2027-06-01,Solar,"Installation of solar system on the roof as per plan. No change in use, egress or occupancy",32226,493,WILLOWBROOK ROAD,Staten Island,10314,GC,TRINITY SOLAR LLC,2211 ALLENWOOD ROAD,Not Applicable,,,Permit Issued
S01455000-I1-FN,S01455000-I1,Initial Permit,2026-09-10,2026-09-09,2026-12-22,Construction Fence,"TEMP. CONST. FENCE (PLYWOOD) APPLCATION FILED IN CONJUCTION WITH RECENTLY FILED ALT. TYPE I PER ALT. NO. S01433892, TO 1INSTALL TEMP PLYWOOD CONSTRUCTION FENCE FOR SITE PROTECTION DURING THE CONSTRUCTION OPERATION.",5000,432,SHEFFIELD STREET,Staten Island,10310,GC,MAXIMUM CONTRACTING INC,18 VANDERBILT AVENUE,Not Applicable,,,Permit Issued
S01456167-I1-FN,S01456167-I1,Initial Permit,2026-09-10,2026-09-09,2027-04-08,Construction Fence,TEMPORARY CONSTRUCTION FENCE,5000,4126,HYLAN BOULEVARD,Staten Island,10308,GC,SKEN SERVICES CORP,"175 ZOE STREET, APT 6P",Not Applicable,,,Permit Issued
X00917750-S2-SE,X00917750-S2,Initial Permit,2026-09-10,2024-10-28,2027-01-31,Support of Excavation,INSTALL SUPPORT OF EXCAVATION AS PER PLANS FILED.,0,550,EAST TREMONT AVENUE,Bronx,10457,GC,ANDRON CONSTRUCTION CORP,21 ANDERSON LANE,NYC PARKS & RECREATION,,,Permit Issued
X00953537-S6-EW-SD,X00953537-S6,Initial Permit,2026-09-10,2025-03-04,2027-01-31,Standpipe,HUB REVIEW HPD PROJECT - IT IS PROPOSED TO FILE FOR SPRINKLER AND STANDPIPE WORK FOR A NEW NINE (9) STORY RESIDENTIAL BUILDING AS SHOWN ON PLANS.,0,1806,ANTHONY AVENUE,Bronx,10457,F,TRISTATE FIRE SPRINK INC,1237 39 STREET 1ST FLOOR,"UNIQUE PEOPLE SERVICES, INC.",,,Permit Issued
X00953537-S6-EW-SP,X00953537-S6,Initial Permit,2026-09-10,2025-03-04,2027-01-31,Standpipe,HUB REVIEW HPD PROJECT - IT IS PROPOSED TO FILE FOR SPRINKLER AND STANDPIPE WORK FOR A NEW NINE (9) STORY RESIDENTIAL BUILDING AS SHOWN ON PLANS.,0,1806,ANTHONY AVENUE,Bronx,10457,F,TRISTATE FIRE SPRINK INC,1237 39 STREET 1ST FLOOR,"UNIQUE PEOPLE SERVICES, INC.",,,Permit Issued
X00953537-S7-EW-SD,X00953537-S7,Initial Permit,2026-09-10,2024-10-31,2027-01-31,Standpipe,IT IS PROPOSED TO FILE FOR A TEMP STANDPIPE SYSTEM FOR PROPOSED NEW BUILDING AS SHOWN ON PLANS.,0,1806,ANTHONY AVENUE,Bronx,10457,F,TRISTATE FIRE SPRINK INC,1237 39 STREET 1ST FLOOR,"UNIQUE PEOPLE SERVICES, INC.",,,Permit Issued
X00989288-S5-SE,X00989288-S5,Initial Permit,2026-09-10,2026-02-17,2026-12-31,Support of Excavation,PROPOSED SUPPORT OF EXCVATION PLANS FILED HEREWITH.,0,3065,PERRY AVENUE,Bronx,10467,GC,NAVAC BUILDERS INC,25 SOUTH GREENBUSH RD STE100,PR,,,Permit Issued
X00999716-S1-PL,X00999716-S1,Initial Permit,2026-09-10,2024-03-23,2026-10-12,Plumbing,"X118: Remove existing yard drains and sediment pits. Provide new yard drains, catch basins, outlet control structure, and trench drains.",548294,577,EAST 179 STREET,Bronx,10457,P,PANILI PLUMBING & HTG LLC,3720 58 STREET,NYC SCA,,,Permit Issued
X01019875-S1-PL,X01019875-S1,Initial Permit,2026-09-10,2026-06-22,2027-01-01,Plumbing,providing new gas shutoff valves & piping for boiler burner replacements,100000,3424,KOSSUTH AVENUE,Bronx,10467,P,I.M.P. PLUMBING & HEATING CORP.,412 8th Avenue,PR,,,Permit Issued
X01168000-S1-EW-SP,X01168000-S1,Initial Permit,2026-09-10,2025-05-29,2026-12-29,Sprinklers,"Herewith filing application propose to remove the existing sprinkler heads, piping and components throughout the building for full demo.",35000,6389,BROADWAY,Bronx,10471,P,"WELKIN ENTERPRISES,LLC",79-51 COOPER AVENUE,NYC SCA,,,Permit Issued
X01202536-I1-GC,X01202536-I1,Initial Permit,2026-09-10,2026-02-19,2026-12-01,General Construction,APPLICATION FILED HEREWITH TO ERECT A NEW ELEVEN (11) STORY RESIDENTIAL BUILDING WITH SIXTY-FIVE (65) DWELLING UNITS,0,220,KIMBERLY PLACE,Bronx,10463,GC,L & A DEVELOPERS GROUP*,1738 HONE AVENUE,WESTORCHARD MANAGEMENT,,,Permit Issued
X01215143-S2-PL,X01215143-S2,Initial Permit,2026-09-10,2025-07-16,2027-02-01,Plumbing,"PLUMBING MODIFICATIONS (OFFICE RENOVATION) AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",168000,67,METROPOLITAN OVAL,Bronx,10462,P,DV PLUMBING INC,94 Davidson Street,OLSHAN PROPERTIES,,,Permit Issued
X01280071-S3-EW-SP,X01280071-S3,Initial Permit,2026-09-10,2025-11-10,2026-11-14,Sprinklers,Sprinkler application filed subsequent to Alt-CO NB application: X01280071-I1.,1000,477,WILLIS AVENUE,Bronx,10455,F,PRIME PIPING & HEATING IN,152-32 ROCKAWAY BLVD,SRT NOSTRAND LLC,,,Permit Issued
X01297399-S8-SE,X01297399-S8,Initial Permit,2026-09-10,2026-08-03,2026-11-19,Support of Excavation,SUPPORT OF EXCAVATION FILED IN CONJUNCTION WITH NB JOB NUMBER X01297399-I1.,0,2054,WALTON AVENUE,Bronx,10453,GC,"EXPRESS BUILDERS JB, INC",365 FLUSHING AVE #612,EXPRESS BUILDERS JB INC,,,Permit Issued
X01306831-I1-FD,X01306831-I1,Initial Permit,2026-09-10,2026-06-16,2026-10-18,Full Demolition,full demolition of 5 story structure using hand held and mechanical means.,2203046,2077,BOSTON ROAD,Bronx,10460,GC,STATE CONTRACTING CORP NY,555 SAW MILL RIVER ROAD,Phipps Houses,,,Permit Issued
X01324218-I1-GC-CX,X01324218-I1,Initial Permit,2026-09-10,2026-07-27,2027-05-02,General Construction,facade restoration,98000,333,EAST 209 STREET,Bronx,10467,GC,WINSTAR RESTORATION INC,132 WILDCAT ROAD,"VERITAS PROPERTY MANAGEMENT, LLC",,,Permit Issued
X01349818-S1-PL,X01349818-S1,Initial Permit,2026-09-10,2026-09-10,2026-12-03,Plumbing,PLUMBING APPLICATION FILED HEREWITH IN CONJUNCTION TO ALT-CO APPLICATION X01349818-I1,101400,1046,MORRIS AVENUE,Bronx,10456,P,"QUALITY PIPING, INC",1027 CHURCH AVENUE,PR,,,Permit Issued
X01349818-S2-MS,X01349818-S2,Initial Permit,2026-09-10,2026-09-10,2026-12-26,Mechanical Systems,MECHANICAL SYSTEMS APPLICATION FILED HEREWITH IN CONJUNCTION TO ALT-CO APPLICATION X01349818-I1,39000,1046,MORRIS AVENUE,Bronx,10456,GC,BUILDERS GROUP USA INC,4118 14TH AVENUE #108,PR,,,Permit Issued
